"layer","level","class","id","metric","value","areasqkm"
1,"patch",1,525,"area",0.01,1e-04
1,"patch",1,526,"area",0.02,2e-04
1,"patch",1,527,"area",0.01,1e-04
1,"patch",1,528,"area",0.71,0.0071
1,"patch",1,529,"area",0.01,1e-04
1,"patch",1,530,"area",0.01,1e-04
1,"patch",1,531,"area",0.01,1e-04
1,"patch",1,532,"area",0.16,0.0016
1,"patch",1,533,"area",0.01,1e-04
1,"patch",1,534,"area",0.08,8e-04
1,"patch",1,535,"area",0.01,1e-04
1,"patch",1,536,"area",0.05,5e-04
1,"patch",1,537,"area",0.01,1e-04
1,"patch",1,538,"area",0.05,5e-04
1,"patch",1,539,"area",0.01,1e-04
1,"patch",1,540,"area",0.01,1e-04
1,"patch",1,541,"area",0.01,1e-04
1,"patch",1,542,"area",0.13,0.0013
1,"patch",1,543,"area",0.19,0.0019
1,"patch",1,544,"area",0.01,1e-04
1,"patch",1,545,"area",0.01,1e-04
1,"patch",1,546,"area",0.02,2e-04
1,"patch",1,547,"area",0.02,2e-04
1,"patch",1,548,"area",0.02,2e-04
1,"patch",1,549,"area",0.07,7e-04
1,"patch",1,550,"area",0.11,0.0011
1,"patch",1,551,"area",2.73,0.0273
1,"patch",1,552,"area",0.02,2e-04
1,"patch",1,553,"area",0.07,7e-04
1,"patch",1,554,"area",0.33,0.0033
1,"patch",1,555,"area",0.76,0.0076
1,"patch",1,556,"area",0.03,3e-04
1,"patch",1,557,"area",120.05,1.2005
1,"patch",1,558,"area",0.14,0.0014
1,"patch",1,559,"area",0.01,1e-04
1,"patch",1,560,"area",0.01,1e-04
1,"patch",1,561,"area",0.01,1e-04
1,"patch",1,562,"area",0.03,3e-04
1,"patch",1,563,"area",0.01,1e-04
1,"patch",1,564,"area",0.07,7e-04
1,"patch",1,565,"area",0.03,3e-04
1,"patch",1,566,"area",5.28,0.0528
1,"patch",1,567,"area",0.03,3e-04
1,"patch",1,568,"area",0.01,1e-04
1,"patch",1,569,"area",0.03,3e-04
1,"patch",1,570,"area",0.36,0.0036
1,"patch",1,571,"area",0.04,4e-04
1,"patch",1,572,"area",0.01,1e-04
1,"patch",1,573,"area",0.01,1e-04
1,"patch",1,574,"area",0.01,1e-04
1,"patch",1,575,"area",0.01,1e-04
1,"patch",1,576,"area",0.01,1e-04
1,"patch",1,577,"area",0.02,2e-04
1,"patch",1,578,"area",0.06,6e-04
1,"patch",1,579,"area",0.27,0.0027
1,"patch",1,580,"area",0.05,5e-04
1,"patch",1,581,"area",0.04,4e-04
1,"patch",1,582,"area",0.01,1e-04
1,"patch",1,583,"area",0.02,2e-04
1,"patch",1,584,"area",0.03,3e-04
1,"patch",1,585,"area",0.01,1e-04
1,"patch",1,586,"area",0.01,1e-04
1,"patch",1,587,"area",0.01,1e-04
1,"patch",1,588,"area",0.01,1e-04
1,"patch",1,589,"area",0.02,2e-04
1,"patch",1,590,"area",0.04,4e-04
1,"patch",1,591,"area",0.16,0.0016
1,"patch",1,592,"area",4.22,0.0422
1,"patch",1,593,"area",0.02,2e-04
1,"patch",1,594,"area",0.01,1e-04
1,"patch",1,595,"area",1.78,0.0178
1,"patch",1,596,"area",0.12,0.0012
1,"patch",1,597,"area",0.01,1e-04
1,"patch",1,598,"area",0.23,0.0023
1,"patch",1,599,"area",0.01,1e-04
1,"patch",1,600,"area",0.03,3e-04
1,"patch",1,601,"area",0.01,1e-04
1,"patch",1,602,"area",0.01,1e-04
