"layer","level","class","id","metric","value","coreareasqkm"
1,"patch",1,418,"core",0,0
1,"patch",1,419,"core",0,0
1,"patch",1,420,"core",0.48,0.0048
1,"patch",1,421,"core",0,0
1,"patch",1,422,"core",0,0
1,"patch",1,423,"core",0,0
1,"patch",1,424,"core",0,0
1,"patch",1,425,"core",0,0
1,"patch",1,426,"core",0,0
1,"patch",1,427,"core",0,0
1,"patch",1,428,"core",0.03,3e-04
1,"patch",1,429,"core",0,0
1,"patch",1,430,"core",0,0
1,"patch",1,431,"core",0,0
1,"patch",1,432,"core",0,0
1,"patch",1,433,"core",0,0
1,"patch",1,434,"core",0,0
1,"patch",1,435,"core",0,0
1,"patch",1,436,"core",0,0
1,"patch",1,437,"core",0,0
1,"patch",1,438,"core",0,0
1,"patch",1,439,"core",0,0
1,"patch",1,440,"core",0,0
1,"patch",1,441,"core",0,0
1,"patch",1,442,"core",0,0
1,"patch",1,443,"core",0,0
1,"patch",1,444,"core",124.25,1.2425
1,"patch",1,445,"core",0,0
1,"patch",1,446,"core",0,0
1,"patch",1,447,"core",0,0
1,"patch",1,448,"core",0,0
1,"patch",1,449,"core",0,0
1,"patch",1,450,"core",0,0
1,"patch",1,451,"core",0,0
1,"patch",1,452,"core",0,0
1,"patch",1,453,"core",0,0
1,"patch",1,454,"core",176.84,1.7684
1,"patch",1,455,"core",0,0
1,"patch",1,456,"core",0,0
1,"patch",1,457,"core",0,0
1,"patch",1,458,"core",0,0
1,"patch",1,459,"core",0,0
1,"patch",1,460,"core",0,0
1,"patch",1,461,"core",0,0
1,"patch",1,462,"core",19.62,0.1962
1,"patch",1,463,"core",0,0
1,"patch",1,464,"core",0,0
1,"patch",1,465,"core",0,0
1,"patch",1,466,"core",0,0
1,"patch",1,467,"core",0,0
1,"patch",1,468,"core",0,0
1,"patch",1,469,"core",0,0
1,"patch",1,470,"core",0,0
1,"patch",1,471,"core",0,0
1,"patch",1,472,"core",0,0
1,"patch",1,473,"core",0,0
1,"patch",1,474,"core",0,0
1,"patch",1,475,"core",0,0
1,"patch",1,476,"core",0,0
1,"patch",1,477,"core",0,0
1,"patch",1,478,"core",0,0
1,"patch",1,479,"core",0,0
1,"patch",1,480,"core",0,0
1,"patch",1,481,"core",0,0
1,"patch",1,482,"core",0,0
1,"patch",1,483,"core",0,0
1,"patch",1,484,"core",0,0
1,"patch",1,485,"core",0,0
1,"patch",1,486,"core",0,0
1,"patch",1,487,"core",0,0
1,"patch",1,488,"core",0,0
1,"patch",1,489,"core",0,0
1,"patch",1,490,"core",0,0
1,"patch",1,491,"core",0,0
1,"patch",1,492,"core",0,0
1,"patch",1,493,"core",0,0
1,"patch",1,494,"core",0,0
1,"patch",1,495,"core",0,0
1,"patch",1,496,"core",70.57,0.7057
1,"patch",1,497,"core",0,0
1,"patch",1,498,"core",0,0
1,"patch",1,499,"core",0,0
1,"patch",1,500,"core",0,0
1,"patch",1,501,"core",8.86,0.0886
1,"patch",1,502,"core",0,0
1,"patch",1,503,"core",0,0
1,"patch",1,504,"core",0,0
1,"patch",1,505,"core",0,0
1,"patch",1,506,"core",0,0
1,"patch",1,507,"core",0,0
1,"patch",1,508,"core",0,0
1,"patch",1,509,"core",0,0
1,"patch",1,510,"core",0,0
1,"patch",1,511,"core",0,0
1,"patch",1,512,"core",0,0
1,"patch",1,513,"core",0,0
1,"patch",1,514,"core",23.37,0.2337
1,"patch",1,515,"core",0,0
1,"patch",1,516,"core",0,0
1,"patch",1,517,"core",0,0
1,"patch",1,518,"core",0,0
1,"patch",1,519,"core",352.18,3.5218
1,"patch",1,520,"core",0,0
1,"patch",1,521,"core",0,0
1,"patch",1,522,"core",0,0
1,"patch",1,523,"core",0,0
1,"patch",1,524,"core",0,0
1,"patch",1,525,"core",0,0
1,"patch",1,526,"core",0,0
1,"patch",1,527,"core",0,0
1,"patch",1,528,"core",0,0
1,"patch",1,529,"core",0,0
1,"patch",1,530,"core",0,0
1,"patch",1,531,"core",0,0
1,"patch",1,532,"core",0,0
1,"patch",1,533,"core",0,0
1,"patch",1,534,"core",0,0
1,"patch",1,535,"core",0,0
1,"patch",1,536,"core",0,0
1,"patch",1,537,"core",0,0
1,"patch",1,538,"core",0,0
1,"patch",1,539,"core",0.48,0.0048
1,"patch",1,540,"core",0,0
1,"patch",1,541,"core",0,0
1,"patch",1,542,"core",0,0
1,"patch",1,543,"core",0,0
1,"patch",1,544,"core",0,0
1,"patch",1,545,"core",0,0
1,"patch",1,546,"core",0,0
1,"patch",1,547,"core",0,0
1,"patch",1,548,"core",0,0
1,"patch",1,549,"core",0,0
1,"patch",1,550,"core",0,0
1,"patch",1,551,"core",0,0
1,"patch",1,552,"core",0,0
1,"patch",1,553,"core",0,0
1,"patch",1,554,"core",0,0
1,"patch",1,555,"core",0,0
1,"patch",1,556,"core",0,0
1,"patch",1,557,"core",0,0
1,"patch",1,558,"core",0,0
1,"patch",1,559,"core",0,0
1,"patch",1,560,"core",0,0
1,"patch",1,561,"core",14.25,0.1425
1,"patch",1,562,"core",0,0
1,"patch",1,563,"core",0,0
1,"patch",1,564,"core",0,0
1,"patch",1,565,"core",0,0
1,"patch",1,566,"core",0,0
1,"patch",1,567,"core",0,0
1,"patch",1,568,"core",0,0
1,"patch",1,569,"core",0,0
1,"patch",1,570,"core",0,0
1,"patch",1,571,"core",0,0
1,"patch",1,572,"core",0,0
1,"patch",1,573,"core",0,0
1,"patch",1,574,"core",0,0
1,"patch",1,575,"core",0,0
1,"patch",1,576,"core",0,0
1,"patch",1,577,"core",0,0
1,"patch",1,578,"core",0,0
1,"patch",1,579,"core",0,0
1,"patch",1,580,"core",0,0
1,"patch",1,581,"core",0,0
1,"patch",1,582,"core",0,0
1,"patch",1,583,"core",0,0
1,"patch",1,584,"core",0,0
1,"patch",1,585,"core",0,0
1,"patch",1,586,"core",0,0
1,"patch",1,587,"core",0,0
1,"patch",1,588,"core",0,0
1,"patch",1,589,"core",0,0
1,"patch",1,590,"core",0,0
1,"patch",1,591,"core",0,0
1,"patch",1,592,"core",0,0
1,"patch",1,593,"core",0,0
1,"patch",1,594,"core",0,0
1,"patch",1,595,"core",0,0
1,"patch",1,596,"core",0,0
1,"patch",1,597,"core",0,0
