"layer","level","class","id","metric","value","prop_edge"
1,"patch",1,452,"cai",0,100
1,"patch",1,453,"cai",0,100
1,"patch",1,454,"cai",54.5314379105122,45.4685620894878
1,"patch",1,455,"cai",0,100
1,"patch",1,456,"cai",0,100
1,"patch",1,457,"cai",0,100
1,"patch",1,458,"cai",0,100
1,"patch",1,459,"cai",0,100
1,"patch",1,460,"cai",0,100
1,"patch",1,461,"cai",0,100
1,"patch",1,462,"cai",19.0689085431043,80.9310914568957
1,"patch",1,463,"cai",0,100
1,"patch",1,464,"cai",0,100
1,"patch",1,465,"cai",0,100
1,"patch",1,466,"cai",0,100
1,"patch",1,467,"cai",0,100
1,"patch",1,468,"cai",0,100
1,"patch",1,469,"cai",0,100
1,"patch",1,470,"cai",0,100
1,"patch",1,471,"cai",0,100
1,"patch",1,472,"cai",0,100
1,"patch",1,473,"cai",0,100
1,"patch",1,474,"cai",0,100
1,"patch",1,475,"cai",0,100
1,"patch",1,476,"cai",0,100
1,"patch",1,477,"cai",0,100
1,"patch",1,478,"cai",0,100
1,"patch",1,479,"cai",0,100
1,"patch",1,480,"cai",0,100
1,"patch",1,481,"cai",0,100
1,"patch",1,482,"cai",0,100
1,"patch",1,483,"cai",0,100
1,"patch",1,484,"cai",0,100
1,"patch",1,485,"cai",0,100
1,"patch",1,486,"cai",0,100
1,"patch",1,487,"cai",0,100
1,"patch",1,488,"cai",0,100
1,"patch",1,489,"cai",0,100
1,"patch",1,490,"cai",0,100
1,"patch",1,491,"cai",0,100
1,"patch",1,492,"cai",0,100
1,"patch",1,493,"cai",0,100
1,"patch",1,494,"cai",0,100
1,"patch",1,495,"cai",0,100
1,"patch",1,496,"cai",44.0787008119925,55.9212991880075
1,"patch",1,497,"cai",0,100
1,"patch",1,498,"cai",0,100
1,"patch",1,499,"cai",0,100
1,"patch",1,500,"cai",0,100
1,"patch",1,501,"cai",23.9718614718615,76.0281385281385
1,"patch",1,502,"cai",0,100
1,"patch",1,503,"cai",0,100
1,"patch",1,504,"cai",0,100
1,"patch",1,505,"cai",0,100
1,"patch",1,506,"cai",0,100
1,"patch",1,507,"cai",0,100
1,"patch",1,508,"cai",0,100
1,"patch",1,509,"cai",0,100
1,"patch",1,510,"cai",0,100
1,"patch",1,511,"cai",0,100
1,"patch",1,512,"cai",0,100
1,"patch",1,513,"cai",0,100
1,"patch",1,514,"cai",32.1812172955109,67.8187827044891
1,"patch",1,515,"cai",0,100
1,"patch",1,516,"cai",0,100
1,"patch",1,517,"cai",0,100
1,"patch",1,518,"cai",0,100
1,"patch",1,519,"cai",52.8592441389247,47.1407558610753
1,"patch",1,520,"cai",0,100
1,"patch",1,521,"cai",0,100
1,"patch",1,522,"cai",0,100
1,"patch",1,523,"cai",0,100
1,"patch",1,524,"cai",0,100
1,"patch",1,525,"cai",0,100
1,"patch",1,526,"cai",0,100
1,"patch",1,527,"cai",0,100
1,"patch",1,528,"cai",0,100
1,"patch",1,529,"cai",0,100
1,"patch",1,530,"cai",0,100
1,"patch",1,531,"cai",0,100
1,"patch",1,532,"cai",0,100
1,"patch",1,533,"cai",0,100
1,"patch",1,534,"cai",0,100
1,"patch",1,535,"cai",0,100
1,"patch",1,536,"cai",0,100
1,"patch",1,537,"cai",0,100
1,"patch",1,538,"cai",0,100
1,"patch",1,539,"cai",1.81749337372208,98.1825066262779
1,"patch",1,540,"cai",0,100
1,"patch",1,541,"cai",0,100
1,"patch",1,542,"cai",0,100
1,"patch",1,543,"cai",0,100
1,"patch",1,544,"cai",0,100
1,"patch",1,545,"cai",0,100
1,"patch",1,546,"cai",0,100
1,"patch",1,547,"cai",0,100
1,"patch",1,548,"cai",0,100
1,"patch",1,549,"cai",0,100
1,"patch",1,550,"cai",0,100
1,"patch",1,551,"cai",0,100
1,"patch",1,552,"cai",0,100
1,"patch",1,553,"cai",0,100
1,"patch",1,554,"cai",0,100
1,"patch",1,555,"cai",0,100
1,"patch",1,556,"cai",0,100
1,"patch",1,557,"cai",0,100
1,"patch",1,558,"cai",0,100
1,"patch",1,559,"cai",0,100
1,"patch",1,560,"cai",0,100
1,"patch",1,561,"cai",16.2393162393162,83.7606837606838
1,"patch",1,562,"cai",0,100
1,"patch",1,563,"cai",0,100
1,"patch",1,564,"cai",0,100
1,"patch",1,565,"cai",0,100
1,"patch",1,566,"cai",0,100
1,"patch",1,567,"cai",0,100
1,"patch",1,568,"cai",0,100
1,"patch",1,569,"cai",0,100
1,"patch",1,570,"cai",0,100
1,"patch",1,571,"cai",0,100
1,"patch",1,572,"cai",0,100
1,"patch",1,573,"cai",0,100
1,"patch",1,574,"cai",0,100
1,"patch",1,575,"cai",0,100
1,"patch",1,576,"cai",0,100
1,"patch",1,577,"cai",0,100
1,"patch",1,578,"cai",0,100
1,"patch",1,579,"cai",0,100
1,"patch",1,580,"cai",0,100
1,"patch",1,581,"cai",0,100
1,"patch",1,582,"cai",0,100
1,"patch",1,583,"cai",0,100
1,"patch",1,584,"cai",0,100
1,"patch",1,585,"cai",0,100
1,"patch",1,586,"cai",0,100
1,"patch",1,587,"cai",0,100
1,"patch",1,588,"cai",0,100
1,"patch",1,589,"cai",0,100
1,"patch",1,590,"cai",0,100
1,"patch",1,591,"cai",0,100
1,"patch",1,592,"cai",0,100
1,"patch",1,593,"cai",0,100
1,"patch",1,594,"cai",0,100
1,"patch",1,595,"cai",0,100
1,"patch",1,596,"cai",0,100
1,"patch",1,597,"cai",0,100
1,"patch",1,598,"cai",0,100
1,"patch",1,599,"cai",0,100
1,"patch",1,600,"cai",0,100
1,"patch",1,601,"cai",0,100
1,"patch",1,602,"cai",0,100
1,"patch",1,603,"cai",0,100
1,"patch",1,604,"cai",0,100
1,"patch",1,605,"cai",0,100
1,"patch",1,606,"cai",0,100
1,"patch",1,607,"cai",0,100
1,"patch",1,608,"cai",0,100
1,"patch",1,609,"cai",0,100
1,"patch",1,610,"cai",0,100
1,"patch",1,611,"cai",0,100
1,"patch",1,612,"cai",0,100
1,"patch",1,613,"cai",0,100
1,"patch",1,614,"cai",0,100
1,"patch",1,615,"cai",0,100
1,"patch",1,616,"cai",0,100
1,"patch",1,617,"cai",0,100
1,"patch",1,618,"cai",30.3115861651709,69.6884138348291
1,"patch",1,619,"cai",0,100
1,"patch",1,620,"cai",0,100
1,"patch",1,621,"cai",0,100
1,"patch",1,622,"cai",0,100
1,"patch",1,623,"cai",0,100
1,"patch",1,624,"cai",0,100
1,"patch",1,625,"cai",0,100
1,"patch",1,626,"cai",0,100
1,"patch",1,627,"cai",0,100
1,"patch",1,628,"cai",0,100
1,"patch",1,629,"cai",0,100
1,"patch",1,630,"cai",0,100
1,"patch",1,631,"cai",0,100
1,"patch",1,632,"cai",0,100
