"LCP_ID","Biomass_mean","Biomass_min","Biomass_max","Biomass_range","Origin","Cost","elevation_mean","elevation_min","elevation_max","elevation_range","slope_mean","slope_min","slope_max","slope_range","nPA","Start","PAareasqkm","LCP_areasqkm","pct_protected","nTotalRoads","nPrimaria","nSecundaria","nOtherRoads","nForestPatches","nAgPatches","pct_forest","pct_ag","LCP_density_min","LCP_density_max","LCP_density_median","LCP_density_mean","LCP_density_range","nIntersectingCorridors","LCP_pct_overlap","LCP_pct_unique","LCP_length_km","nTotalRoads_perkm","nForestPatches_perkm","nAgPatches_perkm"
"pejeperro_LCP_top5_10",79.4774996821199,1.22000002861023,145.84391784668,144.623917818069,"pejeperro_LCP_top5",13.8816339243761,468.868172462503,-6.17059946060181,1702.84680175781,1709.01740121841,15.286391146467,0,65.2428131103516,65.2428131103516,7,"Pejeperro",139.521323468735,268.87261998879,51.8912351412173,94,5,14,75,202,1362,78.6688135105831,12.4912309782232,5,32,10,12.2530864197531,27,35,100,0,161.349247266824,0.582587161652834,1.25194262397737,8.44131610820383
"pejeperro_LCP_top5_11",80.3222197603254,1.22000002861023,145.84391784668,144.623917818069,"pejeperro_LCP_top5",14.6932507402488,517.622099967457,-6.17059946060181,1930.6533203125,1936.8239197731,15.2976440026245,0,65.2428131103516,65.2428131103516,7,"Pejeperro",151.053809045403,282.078779546915,53.5502207177835,94,5,14,75,203,1373,79.1501935589121,12.4289746489664,5,32,10,11.9707602339181,27,35,100,0,153.772635729706,0.611292116792668,1.32013084796714,8.92876676974822
"pejeperro_LCP_top5_7",79.5910370204507,1.22000002861023,168.731658935547,167.511658906937,"pejeperro_LCP_top5",13.6911547527153,528.159935870845,-6.17059946060181,1582.73742675781,1588.90802621841,14.8467430181655,0,63.8071212768555,63.8071212768555,9,"Pejeperro",141.407696118545,279.688746466108,50.5589509428763,187,5,17,165,259,1492,78.8005247921932,10.6947456334732,4,20,10,9.65030674846626,16,36,100,0,156.580940921364,1.19427050891151,1.65409658720899,9.52861817805334
"pejeperro_LCP_top5_8",80.2676834426415,1.22000002861023,145.84391784668,144.623917818069,"pejeperro_LCP_top5",13.8300823663135,535.30396752573,-6.17059946060181,1685.35388183594,1691.52448129654,14.6015360922702,0,60.7388458251953,60.7388458251953,8,"Pejeperro",142.787292343909,268.668711395047,53.1462303900199,167,5,18,144,233,1299,78.2601363992981,11.1839967683539,5,32,10,11.91875,27,38,100,0,154.072088420911,1.08390819980172,1.51227910511257,8.43111827270916
"pejeperro_LCP_top5_9",80.5888965108876,1.22000002861023,145.84391784668,144.623917818069,"pejeperro_LCP_top5",13.963631462844,547.145853598876,-6.17059946060181,1654.63916015625,1660.80975961685,14.6117130623715,0,60.7388458251953,60.7388458251953,8,"Pejeperro",146.270586047601,274.665265459838,53.2541258184641,167,5,18,144,229,1309,78.685013060598,11.0678719965212,5,32,10,11.8231707317073,27,38,100,0,160.964211789747,1.03749770301822,1.4226764909651,8.13224247455596
"piedras_blancas_LCP_top5_1",75.7492827634017,14.4822978973389,145.84391784668,131.361619949341,"piedras_blancas_LCP_top5",7.63444415095569,763.189639201672,12.0156288146973,1702.84680175781,1690.83117294312,15.8513224186059,0.0101539343595505,65.2428131103516,65.232659175992,3,"PB",20.4053582554305,129.11535122363,15.8039753306236,60,5,3,52,166,1015,75.3220272247543,19.7267015568777,5,32,15,14.0123456790123,27,35,100,0,76.2670590984085,0.786709238684307,2.17656222702658,13.3084979544095
"piedras_blancas_LCP_top5_12",76.2783250182658,5.81228685379028,168.731658935547,162.919372081757,"piedras_blancas_LCP_top5",7.44396497929476,856.52431069533,12.0156288146973,1582.73742675781,1570.72179794312,14.949939500804,0.0232269428670406,63.8071212768555,63.7838943339884,5,"PB",22.2917309052412,139.931477272549,15.9304620659603,153,5,6,142,223,1145,75.8439788306445,15.5766954118164,4,19,8,8.81707317073171,15,32,100,0,68.6987318325412,2.22711534723742,3.24605700937218,16.6669743306329
"piedras_blancas_LCP_top5_13",77.3270530882936,5.81228685379028,145.84391784668,140.031630992889,"piedras_blancas_LCP_top5",7.58289259289302,898.970060422136,12.0156288146973,1685.35388183594,1673.33825302124,14.4601964524033,0.0158984996378422,60.7388458251953,60.7229473255575,4,"PB",23.6734088411043,128.918083391661,18.3631405449793,133,5,7,121,197,952,74.4607718906015,17.0161543073476,5,32,14,13.379746835443,27,38,100,0,71.5070370241983,1.8599568033422,2.75497361096551,13.3133750133968
"piedras_blancas_LCP_top5_14",78.1017422891249,5.81228685379028,145.84391784668,140.031630992889,"piedras_blancas_LCP_top5",7.71644168942354,906.55903313767,12.0156288146973,1654.63916015625,1642.62353134155,14.4866329741758,0.0158984996378422,60.7388458251953,60.7229473255575,4,"PB",27.1567025447961,134.914637456453,20.1288037063893,133,5,7,121,193,962,75.494625283247,16.5205202491051,5,32,14,13.1204819277108,27,38,100,0,68.9899002524997,1.92781841274196,2.7975109297684,13.9440700229907
"piedras_blancas_LCP_top5_2",77.7360556661481,14.4822978973389,145.84391784668,131.361619949341,"piedras_blancas_LCP_top5",8.44606096682833,830.638989202074,12.0156288146973,1930.6533203125,1918.6376914978,15.8209481222475,0.0101539343595505,65.2428131103516,65.232659175992,3,"PB",31.9378438320988,142.321510781755,22.4406301315015,60,5,3,52,167,1026,76.5866659237102,18.9319238195257,5,32,15,13.3,27,35,100,0,75.8820236213359,0.790701105961672,2.20078474492665,13.5209889119446
