"HC_ID","canopy_mean","elevation_range","pct_sinacbc","nTotalRoads","nPrimaria","nSecundaria","nOtherRoads","nForestPatches","meanForestPatchArea","nAgPatches","meanAgPatchArea","pct_forest","pct_ag","hc_areasqkm"
20332,23.7588882446289,0,100,0,0,0,0,1,153.699149743542,0,0,100,0,9.98971494606667e-05
20333,26.89188363817,10.03076171875,100,0,0,0,0,1,0.0102960227773773,0,0,100,0,0.000799691274491488
20334,12.4217805862427,2.3643217086792,100,0,0,0,0,1,24.612857430679,0,0,100,0,9.99226582048796e-05
20335,14.3294764624702,0,100,0,0,0,0,1,24.612857430679,0,0,100,0,0.000699459103161666
20336,25,14.883056640625,100,0,0,0,0,1,424.844343685983,0,0,100,0,9.9960476010092e-05
20337,25,10.30224609375,100,0,0,0,0,1,424.844343685983,0,0,100,0,9.99604974877366e-05
20338,18,0,100,0,0,0,0,1,4.91706518168768,0,0,100,0,9.98866696154291e-05
20339,29.5222454071045,16.275146484375,100,0,0,0,0,1,5.17193953635443,0,0,100,0,9.99654474737108e-05
20340,16.8356876373291,0,0,0,0,0,0,1,0.000899751828483277,0,0,100,0,9.99724381836859e-05
20341,16.4994945526123,0,100,0,0,0,0,1,424.844343685983,0,0,100,0,9.99584341339287e-05
20342,21.3399456420747,47.18896484375,100,0,0,0,0,1,5.17193953635443,0,0,96.6052417712089,2.8581432476689,0.0174938747527017
20343,27,0,100,0,0,0,0,1,0.000499829788191768,0,0,100,0,9.99659364901672e-05
20344,18.7872543334961,0.98150634765625,0,0,0,0,0,1,1.44628185943101,0,0,100,0,9.99720455778151e-05
20345,17.688193321228,0,100,0,0,0,0,1,0.00239915056233078,0,0,100,0,9.99646361681735e-05
20346,23.8559544881185,3.13720703125,100,0,0,0,0,1,2.68470250757244,0,0,50.0169606422275,0,0.000199932180436357
20347,6.66772365570068,1.774169921875,100,0,0,0,0,1,424.844343685983,0,0,100,0,9.99411962948216e-05
20348,29.9325898211935,7.6295166015625,100,0,0,0,0,1,424.844343685983,0,0,100,0,0.00209921224356543
20349,28.3162478957065,17.1927490234375,100,0,0,0,0,1,5.17193953635443,0,0,100,0,0.00369862678075689
20350,27.7455796135796,0,100,0,0,0,0,2,0.374573710190414,0,0,85.7434789115951,14.2905798185992,0.000699761670060791
20351,13,0.357779979705811,100,0,0,0,0,1,24.612857430679,0,0,100,0,0.000299767541260459
20352,12.9863831576179,2.11412572860718,100,0,0,0,0,2,12.306678522136,0,0,95.8488153624231,4.22862420716572,0.00709450604505426
20353,26,7.2879638671875,100,0,0,0,0,1,2.68470250757244,0,0,100,0,9.99661382884224e-05
